id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-3643068-A,Random oriented decoder for label decoding ,Spartanics,"William L Mohan, Samuel P Willits",1969-03-12,1969-03-12,1972-02-15,1972-02-15,https://patents.google.com/patent/US3643068A/en,https://patentimages.storage.googleapis.com/e4/3b/c3/4264ad77c95bc5/US3643068-drawings-page-2.png
US-3503031-A,Printed circuit keyboard ,Control Data Corp,"Keith A Nyhus, Richard M Sedro",1969-02-11,1969-02-11,1970-03-24,1970-03-24,https://patents.google.com/patent/US3503031A/en,https://patentimages.storage.googleapis.com/2b/e9/08/d3f675c5056755/US3503031-drawings-page-1.png
US-3409760-A,Machine readable merchandise tag ,Monarch Marking Systems Inc,Paul H Hamisch,1966-12-14,1966-12-14,1968-11-05,1968-11-05,https://patents.google.com/patent/US3409760A/en,https://patentimages.storage.googleapis.com/09/6b/a7/4524a0cdeb9101/US3409760-drawings-page-1.png
US-3376661-A,Multiple company credit card ,John G. Hulett,John G Hulett,1966-06-28,1966-06-28,1968-04-09,1968-04-09,https://patents.google.com/patent/US3376661A/en,https://patentimages.storage.googleapis.com/2b/d9/dc/5aa5ceec150220/US3376661-drawings-page-1.png
US-3560964-A,Keyboard unit ,Philco Ford Corp,"Stuart W Bedell, Robert L Clenner",1968-12-31,1968-12-31,1971-02-02,1971-02-02,https://patents.google.com/patent/US3560964A/en,https://patentimages.storage.googleapis.com/a8/17/e0/d850ee6242e76f/US3560964-drawings-page-1.png
US-3414731-A,Package classification by tracking the path of a circular label and simultaneously scanning the information on the label ,Sylvania Electric Prod,Arthur B Sperry,1966-10-28,1966-10-28,1968-12-03,1968-12-03,https://patents.google.com/patent/US3414731A/en,https://patentimages.storage.googleapis.com/49/ae/0a/cb54dff7f0aee5/US3414731-drawings-page-1.png
US-3335407-A,Apparatus for recording sales ,Universal Controls Inc,"Le Roy J Lange, Harold C Robinson, George A Groth",1962-08-20,1962-08-20,1967-08-08,1967-08-08,https://patents.google.com/patent/US3335407A/en,https://patentimages.storage.googleapis.com/3c/be/19/7a0159f0bcc9f7/US3335407-drawings-page-1.png
US-3705384-A,Business transaction apparatus ,Eric C Wahlberg,Eric C Wahlberg,1971-08-10,1971-08-10,1972-12-05,1972-12-05,https://patents.google.com/patent/US3705384A/en,https://patentimages.storage.googleapis.com/55/56/65/cb6d23f413a881/US3705384-drawings-page-2.png
US-3652795-A,Telephone transaction system ,Electrospace Corp,"Arnold M Wolf, John G Richter",1970-11-25,1970-11-25,1972-03-28,1972-03-28,https://patents.google.com/patent/US3652795A/en,https://patentimages.storage.googleapis.com/1c/f6/8a/2ef78844a8fafc/US3652795-drawings-page-2.png
US-2770797-A,Data storage apparatus ,Ibm,"Francis E Hamilton, George V Hawkins, Jr Robert E Lawhead, Jr Ernest S Hughes",1951-12-31,1951-12-31,1956-11-13,1956-11-13,https://patents.google.com/patent/US2770797A/en,https://patentimages.storage.googleapis.com/9e/ba/f5/c087902c8635f4/US2770797-drawings-page-1.png
