id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-RE26830-E,Multiple remote interrogated information system ,,,1962-11-02,1968-10-22,1970-03-17,1970-03-17,https://patents.google.com/patent/USRE26830E/en,https://patentimages.storage.googleapis.com/7a/ae/04/a308b25be6f8b5/USRE26830-drawings-page-1.png
US-3610800-A,Digital electronic keyboard instrument with automatic transposition ,North American Rockwell,Ralph Deutsch,1969-10-30,1969-10-30,1971-10-05,1971-10-05,https://patents.google.com/patent/US3610800A/en,https://patentimages.storage.googleapis.com/d3/7e/f6/cd06c4154aa79b/US3610800-drawings-page-2.png
US-3585599-A,Universal system service adapter ,Ibm,"Donald C Hitt, Robert J Woessner",1968-07-09,1968-07-09,1971-06-15,1971-06-15,https://patents.google.com/patent/US3585599A/en,https://patentimages.storage.googleapis.com/fe/a2/47/04deb55e0f203e/US3585599-drawings-page-2.png
US-3573855-A,Computer memory protection ,Texas Instruments Inc,"Harvey G Cragon, William J Watson",1968-12-31,1968-12-31,1971-04-06,1971-04-06,https://patents.google.com/patent/US3573855A/en,https://patentimages.storage.googleapis.com/45/63/2f/398aaf5a4ec03b/US3573855-drawings-page-2.png
US-3573755-A,Electrical tablet for graphic input system ,"Thomas O Ellis, Malcolm R Davis","Thomas O Ellis, Malcolm R Davis",1964-06-29,1968-02-16,1971-04-06,1971-04-06,https://patents.google.com/patent/US3573755A/en,https://patentimages.storage.googleapis.com/8c/cd/a1/c7b98a3efc395a/US3573755-drawings-page-2.png
US-3641505-A,Multiprocessor computer adapted for partitioning into a plurality of independently operating systems ,"Bell Telephone Labor Inc, Western Electric Co","Walter M Artz, Keaneth R Cornelius, John W Olson, Gary R Signor, Francis E Slojkowski",1969-06-25,1969-06-25,1972-02-08,1972-02-08,https://patents.google.com/patent/US3641505A/en,https://patentimages.storage.googleapis.com/92/6c/f0/d0e7d55dfa638f/US3641505-drawings-page-23.png
US-3566370-A,Automated medical history taking system ,Searle Medidata Inc,"Harvey R Worthington Jr, Daniel B Schwarzkopf",1969-06-10,1969-06-10,1971-02-23,1971-02-23,https://patents.google.com/patent/US3566370A/en,https://patentimages.storage.googleapis.com/08/b2/a2/e922ac90fcd3e9/US3566370-drawings-page-8.png
US-3614745-A,Apparatus and method in a multiple operand stream computing system for identifying the specification of multitasks situations and controlling the execution thereof ,Ibm,"Albert Podvin, Michael J Flynn",1969-09-15,1969-09-15,1971-10-19,1971-10-19,https://patents.google.com/patent/US3614745A/en,https://patentimages.storage.googleapis.com/b7/4b/7e/18c6e5592cfa4a/US3614745-drawings-page-2.png
US-3648253-A,Program scheduler for processing systems ,"Ibm, Burroughs Corp","Alvin P Mullery, Frank W Zurcher Jr",1969-12-10,1969-12-10,1972-03-07,1972-03-07,https://patents.google.com/patent/US3648253A/en,https://patentimages.storage.googleapis.com/8e/42/b6/ad174437c1e3cd/US3648253-drawings-page-2.png
US-3643227-A,Job flow and multiprocessor operation control system ,Fairchild Camera Instr Co,"William R Smith, Rex Rice",1969-09-15,1969-09-15,1972-02-15,1972-02-15,https://patents.google.com/patent/US3643227A/en,https://patentimages.storage.googleapis.com/b0/02/1a/5f4096cbdcb1ce/US3643227-drawings-page-2.png
