id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-3634669-A,Analog computation of insurance and investment quantities ,Aero Flow Dynamics Inc,"Charles A Soumas, David J Spontak",1969-07-16,1969-07-16,1972-01-11,1972-01-11,https://patents.google.com/patent/US3634669A/en,https://patentimages.storage.googleapis.com/9e/aa/db/c828d883e31515/US3634669-drawings-page-2.png
US-3605775-A,Method to control dosage of additive into treatment process and automatic device therefor ,Gen Am Transport,"Carl J Zaander, Veljko Milenkovic, Bernard A Johnson",1969-11-18,1969-11-18,1971-09-20,1971-09-20,https://patents.google.com/patent/US3605775A/en,https://patentimages.storage.googleapis.com/f8/a3/17/0cddcf9f7fc71d/US3605775-drawings-page-1.png
US-3520071-A,Anesthesiological training simulator ,Aerojet General Co,"Stephen Abrahamson, Judson S Denson, Alfred P Clark, Leonard Taback, Tullio Ronzoni",1968-01-29,1968-01-29,1970-07-14,1970-07-14,https://patents.google.com/patent/US3520071A/en,https://patentimages.storage.googleapis.com/67/45/12/c392f1770719b1/US3520071-drawings-page-1.png
US-3575085-A,Advanced fire control system ,Hughes Aircraft Co,William E Mcadam Jr,1968-08-21,1968-08-21,1971-04-13,1971-04-13,https://patents.google.com/patent/US3575085A/en,https://patentimages.storage.googleapis.com/11/ad/4b/3be9c2fdffc894/US3575085-drawings-page-2.png
JP-5677697-B2,Active phased-array architecture ,ビアサット・インコーポレイテッド,"デイビッド ダブリュー． コーマン，, デイビッド  ダブリュー． コーマン，, ケネス ブイ． ブーアー，, ケネス  ブイ． ブーアー，, ドナルド ローソン ランヨン，, ドナルド  ローソン ランヨン，, ステファーノ ヴァカロ，, ステファーノ ヴァカロ，, フェルディナンド ティエッツィ，, フェルディナンド ティエッツィ，, デル リオ， ダニエル ジョレンス, デル  リオ，  ダニエル ジョレンス, ドン クロケット，, ドン クロケット，",2009-04-13,2010-04-13,2015-02-25,2015-02-25,https://patents.google.com/patent/JP5677697B2/en,https://patentimages.storage.googleapis.com/05/72/88/fa50aeca326b87/0005677697-2.png
JP-5850588-B2,Method and system for patient-specific blood flow modeling ,"ハートフロー， インコーポレイテッド, ハートフロー，  インコーポレイテッド","エー． テイラー チャールズ, エー．  テイラー チャールズ, エー． フォンテ ティモシー, エー．  フォンテ ティモシー, ギルウー チョイ, ギルウー チョイ, イン バイ, イン バイ, ケイ． ザリンス クリストファー, ケイ．  ザリンス クリストファー",2010-08-12,2014-11-06,2016-02-03,2016-02-03,https://patents.google.com/patent/JP5850588B2/en,https://patentimages.storage.googleapis.com/JP5850588B2/0005850588.png
JP-4550945-B2,Force sensitive tactile interface ,マサチューセッツ  インスティテュート  オブ  テクノロジー,"ジュニア サリスバリー，ジェイ．ケネス, エイチ． マッシー，トーマス",1993-10-01,1994-09-22,2010-09-22,2010-09-22,https://patents.google.com/patent/JP4550945B2/en,https://patentimages.storage.googleapis.com/83/73/d8/8206d4b292818d/0004550945-3.png
US-3223321-A,Portable household budget computer ,Baumgartner Walter,Baumgartner Walter,1965-03-16,1965-03-16,1965-12-14,1965-12-14,https://patents.google.com/patent/US3223321A/en,https://patentimages.storage.googleapis.com/fc/78/54/3d8b5a4222bc05/US3223321-drawings-page-1.png
US-3555262-A,Apparatus for production of color separation records ,Dainippon Screen Mfg,Shoichi Shimada,1968-05-07,1968-05-07,1971-01-12,1971-01-12,https://patents.google.com/patent/US3555262A/en,https://patentimages.storage.googleapis.com/0d/5a/a6/a6c4208fed1f62/US3555262-drawings-page-2.png
US-3554187-A,Method and apparatus for automatically screening of electrocardiac signals ,Humetrics Corp,"Harvey F Glassner, Clinton O Jorgensen, Lee R Baessler",1965-10-21,1965-10-21,1971-01-12,1971-01-12,https://patents.google.com/patent/US3554187A/en,https://patentimages.storage.googleapis.com/e0/b4/8a/616fda06e19868/US3554187-drawings-page-2.png
US-3541320-A,Drift compensation for integrating amplifiers ,Gen Electric,William H Beall,1968-08-07,1968-08-07,1970-11-17,1970-11-17,https://patents.google.com/patent/US3541320A/en,https://patentimages.storage.googleapis.com/bf/76/36/d4a61cdbd044ea/US3541320-drawings-page-1.png
US-3380851-A,Nonwoven fabric with vinyl acetateethylene-n-methylol acrylamide interpolymer as binder ,Air Reduction,"Martin K Lindemann, Rocco P Volpe",1965-03-31,1965-03-31,1968-04-30,1968-04-30,https://patents.google.com/patent/US3380851A/en,
US-3109588-A,Celestial computers ,"William L Polhemus, Lewis M Bostick","William L Polhemus, Lewis M Bostick",1962-01-26,1962-01-26,1963-11-05,1963-11-05,https://patents.google.com/patent/US3109588A/en,https://patentimages.storage.googleapis.com/55/ac/0b/6ad42f2b7fcd5a/US3109588-drawings-page-1.png
US-3592099-A,Slide rule for computing musical relationships ,Delbert F Gibby,Delbert F Gibby,1969-04-11,1969-04-11,1971-07-13,1971-07-13,https://patents.google.com/patent/US3592099A/en,https://patentimages.storage.googleapis.com/75/48/56/23fab689cb7527/US3592099-drawings-page-2.png
US-3483951-A,Self-optimizing vibration dampers ,Wisconsin Alumni Res Found,"James A Bonesho, John Gustave Bollinger",1968-12-06,1968-12-06,1969-12-16,1969-12-16,https://patents.google.com/patent/US3483951A/en,https://patentimages.storage.googleapis.com/39/ae/cd/d4fc1dee3ef980/US3483951-drawings-page-1.png
US-3320409-A,Electronic plotting device ,Burroughs Corp,Boyd T Larrowe,1963-01-30,1963-01-30,1967-05-16,1967-05-16,https://patents.google.com/patent/US3320409A/en,https://patentimages.storage.googleapis.com/44/89/2e/b7be4299d2f760/US3320409-drawings-page-1.png
US-3418459-A,Graphic construction display generator ,Gen Electric,"William C Purdy, Charles G Schnorr",1959-11-25,1967-06-16,1968-12-24,1968-12-24,https://patents.google.com/patent/US3418459A/en,https://patentimages.storage.googleapis.com/d2/8b/3c/205dca097cd299/US3418459-drawings-page-1.png
US-3660648-A,Angular rate coordinate transformer ,Northrop Corp,Jack Kuipers,1969-10-15,1969-10-15,1972-05-02,1972-05-02,https://patents.google.com/patent/US3660648A/en,https://patentimages.storage.googleapis.com/33/3d/f5/4d5582391fc053/US3660648-drawings-page-2.png
US-3614410-A,Image rectifier ,"Knight V Bailey, Dudley P Hattaway","Knight V Bailey, Dudley P Hattaway",1969-06-12,1969-06-12,1971-10-19,1971-10-19,https://patents.google.com/patent/US3614410A/en,https://patentimages.storage.googleapis.com/7c/e1/28/c8a95cc026b7ae/US3614410-drawings-page-2.png
US-3502905-A,Differential amplifier and field effect transistor gates for applying largest of two inputs to output ,Honeywell Inc,Robert E Bicking,1967-05-17,1967-05-17,1970-03-24,1970-03-24,https://patents.google.com/patent/US3502905A/en,https://patentimages.storage.googleapis.com/fa/2f/5e/7af65121065c9c/US3502905-drawings-page-1.png
US-3309642-A,Hall effect rotating device ,Csf Cie Generale De Teiegraphi,Grancoin Bernard,1963-07-05,1964-07-01,1967-03-14,1967-03-14,https://patents.google.com/patent/US3309642A/en,https://patentimages.storage.googleapis.com/ef/93/66/e34e25fcb0c83b/US3309642-drawings-page-1.png
US-3316395-A,Credit risk computer ,Credit Corp Comp,Michael G Lavin,1963-05-23,1963-05-23,1967-04-25,1967-04-25,https://patents.google.com/patent/US3316395A/en,https://patentimages.storage.googleapis.com/42/f6/0a/f10208a608629b/US3316395-drawings-page-1.png
US-3155825-A,Pure fluid logic circuitry for integrators and differentiators ,Gen Electric,Willis A Boothe,1963-02-21,1963-02-21,1964-11-03,1964-11-03,https://patents.google.com/patent/US3155825A/en,https://patentimages.storage.googleapis.com/23/d9/32/dd8f4da6e1e917/US3155825-drawings-page-1.png
US-3593115-A,Capacitive voltage divider ,Ibm,"Herbert Dym, Robert V Mazza",1969-06-30,1969-09-10,1971-07-13,1971-07-13,https://patents.google.com/patent/US3593115A/en,https://patentimages.storage.googleapis.com/6d/fe/7b/5b54941843ecd7/US3593115-drawings-page-2.png
US-3474241-A,Coordinate transformer ,Jack Kuipers,Jack Kuipers,1966-10-06,1966-10-06,1969-10-21,1969-10-21,https://patents.google.com/patent/US3474241A/en,https://patentimages.storage.googleapis.com/b4/d1/a1/59e6e5531f82b0/US3474241-drawings-page-1.png
US-3341816-A,Amplitude range signal monitoring device ,Hughes Aircraft Co,"Jack T Davis, William H Hill",1964-03-20,1964-03-20,1967-09-12,1967-09-12,https://patents.google.com/patent/US3341816A/en,https://patentimages.storage.googleapis.com/50/b2/4c/75b0afeac5ce20/US3341816-drawings-page-1.png
US-3513327-A,Low impedance pulse generator ,Owens Illinois Inc,William E Johnson,1968-01-19,1968-08-14,1970-05-19,1970-05-19,https://patents.google.com/patent/US3513327A/en,https://patentimages.storage.googleapis.com/59/63/74/d93d8f0be4ce7f/US3513327-drawings-page-1.png
US-3174032-A,Adapting quantized filter ,Gen Electric,Gerald M White,1960-02-08,1960-10-06,1965-03-16,1965-03-16,https://patents.google.com/patent/US3174032A/en,https://patentimages.storage.googleapis.com/e6/09/3a/eb707a71b3172f/US3174032-drawings-page-1.png
US-3433935-A,Apparatus for computation particularly adapted for producing a measure of transit time and the like ,Herbert Sherman,Herbert Sherman,1963-07-12,1963-07-12,1969-03-18,1969-03-18,https://patents.google.com/patent/US3433935A/en,https://patentimages.storage.googleapis.com/da/8a/68/3200e02b03f868/US3433935-drawings-page-1.png
US-3265960-A,Capacitive resolver ,Benjamin P Blasingame,Benjamin P Blasingame,1959-10-08,1964-10-16,1966-08-09,1966-08-09,https://patents.google.com/patent/US3265960A/en,https://patentimages.storage.googleapis.com/25/35/83/4001ddcc6011ee/US3265960-drawings-page-1.png
US-3378676-A,System employing plural time-spaced average computations for measuring a second variable characteristic imparted to a material initially having a first variable characteristic ,Industrial Nucleonics Corp,John C Clement,1963-07-16,1963-07-16,1968-04-16,1968-04-16,https://patents.google.com/patent/US3378676A/en,https://patentimages.storage.googleapis.com/75/4f/41/7c1bb539a2e105/US3378676-drawings-page-1.png
US-3668545-A,Apparatus for amplifier protection ,Scott Inc H H,Daniel R Von Recklinghausen,1969-11-03,1969-11-03,1972-06-06,1972-06-06,https://patents.google.com/patent/US3668545A/en,https://patentimages.storage.googleapis.com/ae/52/4e/de8a2bb325fe3e/US3668545-drawings-page-2.png
US-3298973-A,Phenolic foam compositions ,Union Carbide Corp,"Richard W Quarles, John A Baumann",1963-10-10,1963-10-10,1967-01-17,1967-01-17,https://patents.google.com/patent/US3298973A/en,
US-3208065-A,Impulse correlation function generator ,Itt,"Frank S Gutleber, Robert S Bailey",1963-07-24,1963-07-24,1965-09-21,1965-09-21,https://patents.google.com/patent/US3208065A/en,https://patentimages.storage.googleapis.com/1f/00/0a/29486adaf18be7/US3208065-drawings-page-1.png
US-3513707-A,Golf game computing system ,Brunswick Corp,"Jack A Russell, Bradford J Baldwin",1966-10-24,1966-10-24,1970-05-26,1970-05-26,https://patents.google.com/patent/US3513707A/en,https://patentimages.storage.googleapis.com/c7/3d/f4/87a3a129e2b933/US3513707-drawings-page-1.png
