id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-669114-B2,Improved signal encode/decode system ,"Pacific Microsonics, Inc.","Keith O Johnson, Michael W Pflaumer",1991-05-29,1992-05-28,1996-05-30,1996-05-30,https://patents.google.com/patent/AU669114B2/en,
US-5487172-A,Transform processor system having reduced processing bandwith ,Hyatt; Gilbert P.,Gilbert P. Hyatt,1974-11-11,1991-09-20,1996-01-23,1996-01-23,https://patents.google.com/patent/US5487172A/en,
US-3604911-A,Serial-parallel digital correlator ,Sylvania Electric Prod,Joseph W Schmitt,1969-05-15,1969-05-15,1971-09-14,1971-09-14,https://patents.google.com/patent/US3604911A/en,https://patentimages.storage.googleapis.com/7a/a5/a7/e930bf649169e5/US3604911-drawings-page-2.png
US-3316547-A,Integrating analog-to-digital converter ,Fairchild Camera Instr Co,Stephan K Ammann,1964-07-15,1964-07-15,1967-04-25,1967-04-25,https://patents.google.com/patent/US3316547A/en,https://patentimages.storage.googleapis.com/0d/37/8d/a0fa1055753365/US3316547-drawings-page-1.png
US-3292110-A,Transversal equalizer for digital transmission systems wherein polarity of time-spaced portions of output signal controls corresponding multiplier setting ,Bell Telephone Labor Inc,"Floyd K Becker, Robert W Lucky, Port Erich",1964-09-16,1964-09-16,1966-12-13,1966-12-13,https://patents.google.com/patent/US3292110A/en,https://patentimages.storage.googleapis.com/0d/9a/8f/316c798d3abca9/US3292110-drawings-page-1.png
US-4944036-A,Signature filter system ,Hyatt Gilbert P,Gilbert P. Hyatt,1970-12-28,1987-08-10,1990-07-24,1990-07-24,https://patents.google.com/patent/US4944036A/en,https://patentimages.storage.googleapis.com/7c/b2/56/8b76c6cf528b68/US4944036-drawings-page-4.png
US-4910706-A,Analog memory for storing digital information ,Hyatt Gilbert P,Gilbert P. Hyatt,1972-09-11,1983-08-04,1990-03-20,1990-03-20,https://patents.google.com/patent/US4910706A/en,https://patentimages.storage.googleapis.com/52/eb/14/63e86e0f98ebd1/US4910706-drawings-page-2.png
US-6636169-B1,"Integrated circuit having circuit blocks that are selectively interconnectable using programming instructions received from a remote location, such as the internet ","Robert J Distinti, Harry F Smith","Robert J Distinti, Harry F Smith",1996-08-15,2000-11-06,2003-10-21,2003-10-21,https://patents.google.com/patent/US6636169B1/en,https://patentimages.storage.googleapis.com/4c/06/6b/1a85ae36ce4299/US06636169-20031021-D00000.png
US-5107146-A,Mixed mode analog/digital programmable interconnect architecture ,Actel Corporation,Khaled A. El-Ayat,1991-02-13,1991-02-13,1992-04-21,1992-04-21,https://patents.google.com/patent/US5107146A/en,https://patentimages.storage.googleapis.com/85/2b/6b/a78c9ebbddae77/US5107146-drawings-page-2.png
US-5457644-A,Field programmable digital signal processing array integrated circuit ,Actel Corporation,John L. McCollum,1993-08-20,1993-08-20,1995-10-10,1995-10-10,https://patents.google.com/patent/US5457644A/en,https://patentimages.storage.googleapis.com/f7/32/71/6b9181ff189339/US5457644-drawings-page-2.png
US-3986022-A,Illumination control system ,Gilbert Peter Hyatt,Gilbert Peter Hyatt,1973-06-04,1973-06-04,1976-10-12,1976-10-12,https://patents.google.com/patent/US3986022A/en,https://patentimages.storage.googleapis.com/86/14/8b/1b3d98c6fcd33e/US3986022-drawings-page-2.png
US-4885757-A,Digital adaptive receiver employing maximum-likelihood sequence estimation with neural networks ,Texas Instruments Incorporated,John D. Provence,1987-06-01,1987-06-01,1989-12-05,1989-12-05,https://patents.google.com/patent/US4885757A/en,https://patentimages.storage.googleapis.com/34/a4/e6/4af9a4ccd50cb3/US4885757-drawings-page-2.png
US-5459846-A,Computer architecture system having an imporved memory ,Hyatt; Gilbert P.,Gilbert P. Hyatt,1988-12-02,1988-12-02,1995-10-17,1995-10-17,https://patents.google.com/patent/US5459846A/en,https://patentimages.storage.googleapis.com/9e/43/43/f294c8cbc05689/US5459846-drawings-page-4.png
US-5432526-A,Liquid crystal display having conductive cooling ,Hyatt; Gilbert P.,Gilbert P. Hyatt,1970-12-28,1990-04-27,1995-07-11,1995-07-11,https://patents.google.com/patent/US5432526A/en,https://patentimages.storage.googleapis.com/0a/25/0f/61be7e4f914cf3/US5432526-drawings-page-4.png
US-4660166-A,Electronic network for collective decision based on large number of connections between signals ,"Bell Telephone Laboratories, Incorporated, California Institute Of Technology",John J. Hopfield,1985-01-22,1985-01-22,1987-04-21,1987-04-21,https://patents.google.com/patent/US4660166A/en,https://patentimages.storage.googleapis.com/6b/60/8e/b1aa3c4fa5ce29/US4660166-drawings-page-2.png
US-6900660-B2,IC with digital and analog circuits and mixed signal I/O pins ,"Silicon Labs Cp, Inc.","Douglas S. Piasecki, II Alvin C. Storvik",2001-04-18,2003-01-21,2005-05-31,2005-05-31,https://patents.google.com/patent/US6900660B2/en,https://patentimages.storage.googleapis.com/4a/76/c9/cc174f741500dc/US06900660-20050531-D00000.png
US-4807168-A,Hybrid analog-digital associative neural network ,"The United States Of America As Represented By The Administrator, National Aeronautics And Space Administration","Alexander W. Moopenn, Anilkumar P. Thakoor, John J. Lambe",1987-06-10,1987-06-10,1989-02-21,1989-02-21,https://patents.google.com/patent/US4807168A/en,https://patentimages.storage.googleapis.com/7f/4e/76/37de1ddf2ea3f7/US4807168-drawings-page-2.png
US-4739396-A,Projection display system ,Hyatt Gilbert P,Gilbert P. Hyatt,1970-12-28,1982-09-27,1988-04-19,1988-04-19,https://patents.google.com/patent/US4739396A/en,https://patentimages.storage.googleapis.com/cc/fc/2e/8c3726ed73e220/US4739396-drawings-page-3.png
US-4872116-A,Vehicle motion estimating system of hybrid type ,"Nissan Motor Company, Limited","Ken Ito, Taketoshi Kawabe",1986-01-10,1989-03-20,1989-10-03,1989-10-03,https://patents.google.com/patent/US4872116A/en,https://patentimages.storage.googleapis.com/1b/19/6a/b9df6907b2df93/US4872116-drawings-page-2.png
US-4672457-A,Scanner system ,Hyatt Gilbert P,Gilbert P. Hyatt,1970-12-28,1982-09-27,1987-06-09,1987-06-09,https://patents.google.com/patent/US4672457A/en,https://patentimages.storage.googleapis.com/e5/83/bc/de964c86c385e0/US4672457-drawings-page-3.png
CA-1188424-A,Multiplier/adder circuit ,"Gideon Amir, Roubik Gregorian, American Microsystems, Inc., American Microsystems Holding Corporation, Ga-Tek Inc., Ami Spinco, Inc., Ami Semiconductor, Inc.","Gideon Amir, Roubik Gregorian",1982-05-25,1983-05-24,1985-06-04,1985-06-04,https://patents.google.com/patent/CA1188424A/en,
US-4060848-A,Electronic calculator system having audio messages for operator interaction ,Gilbert Peter Hyatt,Gilbert Peter Hyatt,1970-12-28,1973-01-22,1977-11-29,1977-11-29,https://patents.google.com/patent/US4060848A/en,https://patentimages.storage.googleapis.com/39/21/6e/94ec302df6a231/US4060848-drawings-page-8.png
US-4422155-A,Multiplier/adder circuit ,"American Microsystems, Inc.","Gideon Amir, Roubik Gregorian, Ghanshyam Dujari",1981-04-01,1981-04-01,1983-12-20,1983-12-20,https://patents.google.com/patent/US4422155A/en,https://patentimages.storage.googleapis.com/72/d1/07/ffa4f0d4548516/US4422155-drawings-page-2.png
US-4016540-A,Apparatus and method for providing interactive audio communication ,Gilbert Peter Hyatt,Gilbert Peter Hyatt,1970-12-28,1973-01-22,1977-04-05,1977-04-05,https://patents.google.com/patent/US4016540A/en,https://patentimages.storage.googleapis.com/72/06/68/c750e9f2309eff/US4016540-drawings-page-2.png
EP-0356556-B1,Multi-input four quadrant multiplier ,Siemens Aktiengesellschaft,Richard Dipl.-Ing. Stepp,1988-08-31,1988-08-31,1993-10-27,1993-10-27,https://patents.google.com/patent/EP0356556B1/en,https://patentimages.storage.googleapis.com/cf/dd/e9/d7a0a137cef578/imgf0001.png
US-5200751-A,Digital to analog converter using a programmable logic array ,Dallas Semiconductor Corp.,Michael D. Smith,1989-06-26,1989-06-26,1993-04-06,1993-04-06,https://patents.google.com/patent/US5200751A/en,https://patentimages.storage.googleapis.com/eb/b2/d8/925559c9a85a6d/US5200751-drawings-page-2.png
US-4112456-A,Stabilized charge injector for charge coupled devices with means for increasing the speed of propagation of charge carriers ,Westinghouse Electric Corp.,"Donald R. Lampe, Marvin H. White, Arthur S. Jensen",1974-09-17,1975-10-24,1978-09-05,1978-09-05,https://patents.google.com/patent/US4112456A/en,https://patentimages.storage.googleapis.com/64/57/8b/35b46b0ff0c53f/US4112456-drawings-page-2.png
US-4435732-A,Electro-optical illumination control system ,Hyatt Gilbert P,Gilbert P. Hyatt,1973-06-04,1980-07-16,1984-03-06,1984-03-06,https://patents.google.com/patent/US4435732A/en,https://patentimages.storage.googleapis.com/09/86/fe/6d99f03577f556/US4435732-drawings-page-2.png
EP-0539116-B1,Method and apparatus for generating correction signals for forming low distortion analog signals ,"Input/Output, Inc.",Frank Mayo,1991-10-25,1992-10-16,2000-01-12,2000-01-12,https://patents.google.com/patent/EP0539116B1/en,https://patentimages.storage.googleapis.com/81/28/9b/5783300a02609b/00370001.png
