id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-3636318-A,Verifiable identification document ,Saab Ab,"Gunnar Lindstrom, Gunde Schullstrom",1968-06-24,1969-06-24,1972-01-18,1972-01-18,https://patents.google.com/patent/US3636318A/en,https://patentimages.storage.googleapis.com/03/80/fd/b2dce092427a2a/US3636318-drawings-page-2.png
US-3530441-A,Method and apparatus for storing and retrieving information ,Energy Conversion Devices Inc,Stanford R Ovshinsky,1969-01-15,1969-01-15,1970-09-22,1970-09-22,https://patents.google.com/patent/US3530441A/en,https://patentimages.storage.googleapis.com/82/55/f2/8bc767a6abf4f5/US3530441-drawings-page-1.png
US-3612835-A,Combined optical and magnetic transducer ,Vendo Co,"Boley A Andrews, James F Ptacek",1969-12-19,1969-12-19,1971-10-12,1971-10-12,https://patents.google.com/patent/US3612835A/en,https://patentimages.storage.googleapis.com/c5/97/7c/7d617c71b97731/US3612835-drawings-page-2.png
US-3624661-A,Electrographic printing system with plural staggered electrode rows ,Honeywell Inc,"Michael S Shebanow, Ronald F Borelli",1969-05-14,1969-05-14,1971-11-30,1971-11-30,https://patents.google.com/patent/US3624661A/en,https://patentimages.storage.googleapis.com/88/ad/31/19f9736fd5ff56/US3624661-drawings-page-2.png
US-3654624-A,Laser recording system using drum mounted record strips ,Precision Instr Co,"Carl H Becker, Harold R Dell, Ballard D French, Masao Hashiguchi, Keith E Mcfarland, Herman Wong",1969-03-17,1969-03-17,1972-04-04,1972-04-04,https://patents.google.com/patent/US3654624A/en,https://patentimages.storage.googleapis.com/7d/17/7c/9703e51ab80416/US3654624-drawings-page-2.png
US-3647963-A,Automatic coordinate determining device ,Bendix Corp,Knight V Bailey,1969-03-10,1969-03-10,1972-03-07,1972-03-07,https://patents.google.com/patent/US3647963A/en,https://patentimages.storage.googleapis.com/68/60/5e/f9b5328ab802d5/US3647963-drawings-page-2.png
US-3658407-A,Image transmitter formed of a plurality of graded index fibers in bundled configuration ,Nippon Selfoc Co Ltd,"Ichiro Kitano, Ken Koizumi, Hiroyoshi Matsumura, Koji Ikeda, Teiji Uchida",1968-08-22,1969-08-21,1972-04-25,1972-04-25,https://patents.google.com/patent/US3658407A/en,https://patentimages.storage.googleapis.com/de/49/d4/6623a0146c8c6d/US3658407-drawings-page-2.png
US-3599151-A,Character recognition photosensing apparatus having a threshold comparator circuit ,Ibm,Jerome Danforth Harr,1969-12-29,1969-12-29,1971-08-10,1971-08-10,https://patents.google.com/patent/US3599151A/en,https://patentimages.storage.googleapis.com/0b/f1/97/591bbb31814e7b/US3599151-drawings-page-2.png
US-3593913-A,Document carrier construction ,Fred C Bremer,Fred C Bremer,1969-04-29,1969-04-29,1971-07-20,1971-07-20,https://patents.google.com/patent/US3593913A/en,https://patentimages.storage.googleapis.com/56/59/d3/8c2837fc8bdae8/US3593913-drawings-page-2.png
US-3618019-A,Signature identification by means of pressure patterns ,Conversational Systems Corp,"Samuel M Nemirovsky, Jacob Sternberg, George Lieberman",1969-11-13,1969-11-13,1971-11-02,1971-11-02,https://patents.google.com/patent/US3618019A/en,https://patentimages.storage.googleapis.com/be/a8/54/9218a7b4bbe106/US3618019-drawings-page-2.png
US-3689935-A,Electrostatic line printer ,Electroprint Inc,"Gerald L Pressman, John V Casanova",1969-10-06,1969-10-06,1972-09-05,1972-09-05,https://patents.google.com/patent/US3689935A/en,https://patentimages.storage.googleapis.com/ec/93/a9/791d340115a9bc/US3689935-drawings-page-2.png
US-3576972-A,Document carrier ,"Doniel J Wood, Harold E Wood","Daniel J Wood, Harold E Wood",1969-09-12,1969-09-12,1971-05-04,1971-05-04,https://patents.google.com/patent/US3576972A/en,https://patentimages.storage.googleapis.com/56/2d/8d/b07aee043b9e37/US3576972-drawings-page-2.png
US-3474366-A,Magnetic switch assembly for operation by magnetic cards ,Walter W Barney,Walter W Barney,1967-06-30,1968-07-05,1969-10-21,1969-10-21,https://patents.google.com/patent/US3474366A/en,https://patentimages.storage.googleapis.com/1b/85/0f/ad30f0d7b8fef1/US3474366-drawings-page-1.png
US-3632995-A,Coded article ,Howard W Wilson,Howard W Wilson,1968-05-09,1968-05-09,1972-01-04,1972-01-04,https://patents.google.com/patent/US3632995A/en,https://patentimages.storage.googleapis.com/30/e9/24/1ce6b2add2b5ab/US3632995-drawings-page-2.png
US-3651916-A,Printing device with interchangeable printing members ,C Olivetti C & C Spa Ing,Raffaele Becchi,1968-01-29,1969-01-24,1972-03-28,1972-03-28,https://patents.google.com/patent/US3651916A/en,https://patentimages.storage.googleapis.com/e0/3f/50/5bb33b69a728ca/US3651916-drawings-page-2.png
US-3560994-A,Vaporizable recording medium ,Bosch Gmbh Robert,"Karin Wolff, Hansjoachim Hamisch",1968-02-06,1969-02-04,1971-02-02,1971-02-02,https://patents.google.com/patent/US3560994A/en,https://patentimages.storage.googleapis.com/a1/16/e0/fb9d76ec6a90b2/US3560994-drawings-page-1.png
US-3581282-A,Palm print identification system ,"Norman G Altman, Charles H Lipton, Ebert Michael",Norman G Altman,1968-12-03,1968-12-03,1971-05-25,1971-05-25,https://patents.google.com/patent/US3581282A/en,https://patentimages.storage.googleapis.com/bb/22/da/483611df44aee6/US3581282-drawings-page-2.png
US-3527535-A,Fingerprint observation and recording apparatus ,Eg & G Inc,John N Monroe,1968-11-15,1968-11-15,1970-09-08,1970-09-08,https://patents.google.com/patent/US3527535A/en,https://patentimages.storage.googleapis.com/55/16/29/d0ef31dd6cca14/US3527535-drawings-page-1.png
US-3657707-A,Laser recording system with both surface defect and data error checking ,Precision Instr Co,"Keith E Mcfarland, Carl H Becker, Harold R Dell, Masao Hashiguchi, Edward D Lara, Herman Wong",1969-03-17,1969-03-17,1972-04-18,1972-04-18,https://patents.google.com/patent/US3657707A/en,https://patentimages.storage.googleapis.com/3c/da/ff/5a137256f16a6e/US3657707-drawings-page-2.png
US-3506779-A,Laser beam typesetter ,Bell Telephone Labor Inc,"Earl F Brown, Charles F Hempstead",1967-04-03,1967-04-03,1970-04-14,1970-04-14,https://patents.google.com/patent/US3506779A/en,https://patentimages.storage.googleapis.com/6c/b2/16/33bb68926b46ec/US3506779-drawings-page-1.png
US-3643068-A,Random oriented decoder for label decoding ,Spartanics,"William L Mohan, Samuel P Willits",1969-03-12,1969-03-12,1972-02-15,1972-02-15,https://patents.google.com/patent/US3643068A/en,https://patentimages.storage.googleapis.com/e4/3b/c3/4264ad77c95bc5/US3643068-drawings-page-2.png
US-3419264-A,Document handling system ,Xerox Corp,"John F Gardner, Martin H Lustig, Adalbert A Lux",1967-04-21,1967-04-21,1968-12-31,1968-12-31,https://patents.google.com/patent/US3419264A/en,https://patentimages.storage.googleapis.com/fb/fa/45/15b681ec896236/US3419264-drawings-page-1.png
US-3509296-A,Resilient variable-conductivity circuit controlling means ,Ncr Co,"Everett Eldon Harshman, Richard W Lewis",1967-10-23,1967-10-23,1970-04-28,1970-04-28,https://patents.google.com/patent/US3509296A/en,https://patentimages.storage.googleapis.com/f0/2e/da/ca5a9ffd746e2c/US3509296-drawings-page-1.png
US-3614430-A,Fluorescent-ink-imprinted coded document and method and apparatus for use in connection therewith ,Pitney Bowes Alpex,Robert M Berler,1969-03-10,1969-03-10,1971-10-19,1971-10-19,https://patents.google.com/patent/US3614430A/en,https://patentimages.storage.googleapis.com/d0/7a/28/22ba710b35ba92/US3614430-drawings-page-2.png
US-3638188-A,Classification method and apparatus for pattern recognition systems ,Westinghouse Electric Corp,"Peter H Pincoffs, Glenn E Tisdale",1969-10-17,1969-10-17,1972-01-25,1972-01-25,https://patents.google.com/patent/US3638188A/en,https://patentimages.storage.googleapis.com/67/bc/13/7060ac5931e126/US3638188-drawings-page-2.png
