id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
RU-2111020-C1,Powdered drug inhaler ,Шеринг Корпорейшн,"Амброзио Томас, Эшли Чарлз, Биланин Алан, Хук Чарлз, Кауфман Эндрю, Кэнион Дэвид, Мантена Шринивас, Сочон Генри, Уилкинсон Кен, Йанг Тсонг-То",1992-12-18,1993-12-16,1998-05-20,1998-05-20,https://patents.google.com/patent/RU2111020C1/en,https://patentimages.storage.googleapis.com/5d/08/6b/03cf60fd8c4a57/00000003.png
CA-2159623-C,Biopsy forceps having a detachable proximal handle and distal jaws ,"Matthew A. Palmer, John R. Whittier, Sergio Rodriquez, Charles R. Slater, Symbiosis Corporation","Matthew A. Palmer, John R. Whittier, Sergio Rodriquez, Charles R. Slater",1993-04-02,1994-04-04,2005-06-07,2005-06-07,https://patents.google.com/patent/CA2159623C/en,
CA-2407262-C,Medicament inhaler ,"Norton Healthcare Ltd., Lawrence Keane, David O'leary, Norton Healthcare Limited","Lawrence Keane, David O'leary",2000-06-23,2001-06-23,2007-08-28,2007-08-28,https://patents.google.com/patent/CA2407262C/en,
AU-598250-B2,Indicating device ,Glaxo Group Limited,"Robert Edward Newell, Carole Ann Osterweil, Paul Kenneth Rand",1986-04-25,1987-04-24,1990-06-21,1990-06-21,https://patents.google.com/patent/AU598250B2/en,
JP-5512396-B2,Administration device ,ファイザー・リミテッドＰｆｉｚｅｒ  Ｌｉｍｉｔｅｄ,"ハウズィーゴ，ピーター・ジョン, コンウェイ，ジョン・ケルショウ, パール，マーティン・ダグラス, ブライアント，アンドリュー・マーク",2003-07-02,2010-05-27,2014-06-04,2014-06-04,https://patents.google.com/patent/JP5512396B2/en,https://patentimages.storage.googleapis.com/34/6e/0b/22711cd77326a2/0005512396-2.png
CA-2086415-C,Inhaler ,"Philip Wilson Braithwaite, Innovata Biomed Limited",Philip Wilson Braithwaite,1990-07-13,1991-07-11,1996-05-07,1996-05-07,https://patents.google.com/patent/CA2086415C/en,
AU-718682-B2,Inhaler for multiple dosed administration of a pharmacological dry powder ,Jagotec Ag,"Thomas Eggimann, Manfred Keller",1995-12-07,1996-12-05,2000-04-20,2000-04-20,https://patents.google.com/patent/AU718682B2/en,
CA-2245799-C,Powdered medication inhaler ,"Schering Corporation, Thomas J. Ambrosio, Warren A. Benson, Jr., Kim C. Dao, David J. Kenyon, Walter J. Kreiseder, Theodore J. Schonebaum, Allen J. Vogel, Louis B. Walker, Tsong-Toh Yang, Merck Sharp & Dohme Corp.","Thomas J. Ambrosio, Warren A. Benson, Jr., Kim C. Dao, David J. Kenyon, Walter J. Kreiseder, Theodore J. Schonebaum, Allen J. Vogel, Louis B. Walker, Tsong-Toh Yang",1996-02-21,1997-02-13,2006-03-21,2006-03-21,https://patents.google.com/patent/CA2245799C/en,
AU-758279-B2,Indicating device for aerosol container ,Trudell Medical International,"Martin P. Foley, Jerry R. Grychowski, Peter Mykola Scarrott, James Nick Schmidt",1998-05-05,1999-04-30,2003-03-20,2003-03-20,https://patents.google.com/patent/AU758279B2/en,
JP-3602535-B2,Flexible microsurgical surgical instrument comprising a rotatable u link ,シンバイオシス・コーポレーション,パルマー，マシュー・エイ,1994-01-05,1995-01-04,2004-12-15,2004-12-15,https://patents.google.com/patent/JP3602535B2/en,https://patentimages.storage.googleapis.com/d3/80/ad/2f7af9cae63a0c/0003602535-2.png
