id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2014241282-B2,Security in a smart-sensored home ,Google Llc,"Anthony M. Fadell, Yoky Matsuoka, Matthew Lee Rogers, Honjo Shigefumi, David Sloo, Maxime Veron",2013-03-14,2014-03-07,2018-02-08,2018-02-08,https://patents.google.com/patent/AU2014241282B2/en,
JP-6246279-B2,"The system of consumer-defined information architecture, method and computer program ","プライマル フュージョン インコーポレイテッド, プライマル  フュージョン  インコーポレイテッド","スウィーニー，ピーター, グッド，ロバート",2006-08-31,2016-07-28,2017-12-13,2017-12-13,https://patents.google.com/patent/JP6246279B2/en,https://patentimages.storage.googleapis.com/09/7b/8c/42e013b0d62f67/0006246279-4.png
JP-6329121-B2,Method performed by a robot system including a mobile robot ,"アイロボット コーポレイション, アイロボット  コーポレイション","マシュー クロス，, マシュー クロス，, クララ ブ，, クララ ブ，, ティム ビックモア，, ティム ビックモア，, クライブ ボルトン，, クライブ ボルトン，, ジョン ゴッシュ，, ジョン ゴッシュ，, アマンダ グルーバー，, アマンダ グルーバー，, ケン シングレア，, ケン シングレア，, ローリン ワイルド，, ローリン ワイルド，, ペース ウィリストン，, ペース ウィリストン，, トニー エル． キャンベル，, トニー  エル． キャンベル，",2005-09-30,2015-12-17,2018-05-23,2018-05-23,https://patents.google.com/patent/JP6329121B2/en,https://patentimages.storage.googleapis.com/cc/b8/d8/841a4105baf098/0006329121-2.png
JP-5490964-B2,The methods and systems for 3 memory static synapses by Stdp and dopamine signaling ,クゥアルコム・インコーポレイテッドＱｕａｌｃｏｍｍ  Ｉｎｃｏｒｐｏｒａｔｅｄ,"タン、イ, レビン、ジェフリー・エー．, アパリン、ブラディミア, ランガン、ベンカト",2010-07-07,2011-07-07,2014-05-14,2014-05-14,https://patents.google.com/patent/JP5490964B2/en,https://patentimages.storage.googleapis.com/d6/9f/a7/26f2095137e5e2/0005490964-13.png
JP-5801931-B2,Clarification of the touch screen based on ancillary touch input preceding ,株式会社ソニー・コンピュータエンタテインメント,"ニコルソン、チャールズ, エム． ザレウスキー、ゲイリー, エム． ザレウスキー、ゲイリー",2009-05-21,2014-06-18,2015-10-28,2015-10-28,https://patents.google.com/patent/JP5801931B2/en,https://patentimages.storage.googleapis.com/2f/4d/2e/e14d108d9be0e4/0005801931-2.png
JP-5603316-B2,"User interface method for facilitating construction of the process plant, the system and method ",フィッシャー−ローズマウント  システムズ，インコーポレイテッド,"ニクソン、マーク、ジェー．, ウェブ、オーサー, ルーカス、マイケル、ジェー．, ビオウター、ケン、ジェー．, ブレビンス、テレンス、エル．, ギルバート、ステファン, カンプニー、ブルース",2004-05-04,2011-12-08,2014-10-08,2014-10-08,https://patents.google.com/patent/JP5603316B2/en,https://patentimages.storage.googleapis.com/JP5603316B2/0005603316.png
CA-2824627-C,System and method for analyzing messages in a network or across networks ,"Bottlenose, Inc., Nova Spivack, Dominiek TER HEIDE","Nova Spivack, Dominiek TER HEIDE",2011-02-23,2012-02-23,2014-09-30,2014-09-30,https://patents.google.com/patent/CA2824627C/en,
JP-5793535-B2,Interactive avatar for social network services ,"ナイキ イノベイト セー． フェー．, ナイキ  イノベイト  セー．  フェー．","ジェーソン ニムズ, ジェーソン ニムズ, ロベルト タグリアブエ, ロベルト タグリアブエ, ダニエル クアトロチ, ダニエル クアトロチ",2007-11-30,2013-05-31,2015-10-14,2015-10-14,https://patents.google.com/patent/JP5793535B2/en,https://patentimages.storage.googleapis.com/92/7c/f1/9f8ac118ba1417/0005793535-2.png
JP-5579798-B2,Nodopurosesa to be used in the parity check decoder ,クゥアルコム・インコーポレイテッドＱｕａｌｃｏｍｍ  Ｉｎｃｏｒｐｏｒａｔｅｄ,"トム・リチャードソン, ウラジミール・ノビチコフ",2001-10-10,2012-07-27,2014-08-27,2014-08-27,https://patents.google.com/patent/JP5579798B2/en,https://patentimages.storage.googleapis.com/a2/a9/f7/6f498b0e207fc6/0005579798-17.png
JP-5945797-B2,Internet system to connect a client of travelers to geographically related data ,"キューファー アセット リミテッド． エル．エル．シー．Ｃｕｆｅｒ Ａｓｓｅｔ Ｌｔｄ． Ｌ．Ｌ．Ｃ．, キューファー  アセット  リミテッド．  エル．エル．シー．Ｃｕｆｅｒ  Ａｓｓｅｔ  Ｌｔｄ．  Ｌ．Ｌ．Ｃ．","エイ グローリキアン ハリー, エイ  グローリキアン ハリー",1999-12-29,2013-01-21,2016-07-05,2016-07-05,https://patents.google.com/patent/JP5945797B2/en,https://patentimages.storage.googleapis.com/17/97/cb/23a8d87492ef1c/0005945797-2.png
