id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-3622995-A,Automatic ticket/credit card check-in system ,Burroughs Corp,"Uselma Clarke S Dilks, James E Hopkins, Carl W Marquis, Howard R Nonken",1969-03-21,1969-03-21,1971-11-23,1971-11-23,https://patents.google.com/patent/US3622995A/en,https://patentimages.storage.googleapis.com/53/c5/87/bf7d95b6ececf8/US3622995-drawings-page-2.png
US-3634669-A,Analog computation of insurance and investment quantities ,Aero Flow Dynamics Inc,"Charles A Soumas, David J Spontak",1969-07-16,1969-07-16,1972-01-11,1972-01-11,https://patents.google.com/patent/US3634669A/en,https://patentimages.storage.googleapis.com/9e/aa/db/c828d883e31515/US3634669-drawings-page-2.png
US-3573747-A,Instinet communication system for effectuating the sale or exchange of fungible properties between subscribers ,Institutional Networks Corp,"Charles W Adams, Herbert R Behrens, Jerome M Pustilnik, John T Gilmore Jr",1969-02-24,1969-02-24,1971-04-06,1971-04-06,https://patents.google.com/patent/US3573747A/en,https://patentimages.storage.googleapis.com/74/46/f4/90a1a1cd83e4ec/US3573747-drawings-page-11.png
US-3653480-A,Automatic vending system ,Omron Tateisi Electronics Co,"Mititaka Yamamoto, Masanori Nagata",1968-10-14,1969-10-09,1972-04-04,1972-04-04,https://patents.google.com/patent/US3653480A/en,https://patentimages.storage.googleapis.com/88/04/4b/0fdcd0d871a4c4/US3653480-drawings-page-2.png
US-3665162-A,Identification system ,Omron Tateisi Electronics Co,"Mititaka Yamamoto, Kazuhiro Kawahara, Tadao Morita",1968-12-16,1969-12-11,1972-05-23,1972-05-23,https://patents.google.com/patent/US3665162A/en,https://patentimages.storage.googleapis.com/0b/74/9f/7c1169024588b5/US3665162-drawings-page-2.png
US-3556342-A,Medicine dispensing apparatus ,Joseph S Guarr,Joseph S Guarr,1969-05-05,1969-05-05,1971-01-19,1971-01-19,https://patents.google.com/patent/US3556342A/en,https://patentimages.storage.googleapis.com/36/bb/2b/3fa3e48968eab9/US3556342-drawings-page-2.png
US-3596256-A,Transaction computer system having multiple access stations ,Pitney Bowes Alpex,"Norman Alpert, Marvin Felcheck, Wallace Kirschner",1969-08-08,1969-08-08,1971-07-27,1971-07-27,https://patents.google.com/patent/US3596256A/en,https://patentimages.storage.googleapis.com/cd/de/ec/757b75265409fe/US3596256-drawings-page-2.png
US-3581072-A,Auction market computation system ,Frederick Nymeyer,Frederick Nymeyer,1968-03-28,1968-03-28,1971-05-25,1971-05-25,https://patents.google.com/patent/US3581072A/en,https://patentimages.storage.googleapis.com/0a/ce/e5/405522915d3f54/US3581072-drawings-page-2.png
US-3540003-A,Computer monitoring system ,Ibm,Robert W Murphy,1968-06-10,1968-06-10,1970-11-10,1970-11-10,https://patents.google.com/patent/US3540003A/en,https://patentimages.storage.googleapis.com/a5/ec/d6/597f6a08d415a5/US3540003-drawings-page-6.png
JP-6262795-B2,Improved advertising associated with the video ad creative ,"グーグル エルエルシー, グーグル  エルエルシー","ジェイソン・ベイヤー, ロノジョイ・チャクラバーティ, ケバル・デサイ, マニシュ・グプタ, ジル・エー．・フチタル, ウィラード・ラシュ",2005-12-30,2016-04-13,2018-01-17,2018-01-17,https://patents.google.com/patent/JP6262795B2/en,https://patentimages.storage.googleapis.com/e1/a4/d8/a2b7b654770191/0006262795-2.png
JP-6472060-B2,System and method for exchanging value between distributed users electronically ,"ペイパル インコーポレイテッド, ペイパル  インコーポレイテッド","レブチン マックス, レブチン マックス, ノセック リューク, ノセック リューク, ジエル ピーター, ジエル ピーター, アラン バニスター スコット, アラン  バニスター スコット",1999-04-30,2016-12-14,2019-02-20,2019-02-20,https://patents.google.com/patent/JP6472060B2/en,https://patentimages.storage.googleapis.com/36/25/cc/118edf4d5a2d37/0006472060-2.png
JP-6488330-B2,Wireless power distribution and control system ,"フィリップス アイピー ベンチャーズ ビー ヴィ, フィリップス  アイピー  ベンチャーズ  ビー  ヴィ","ディヴィッド ダブリュー バーマン, ディヴィッド  ダブリュー バーマン",2009-08-24,2017-07-06,2019-03-20,2019-03-20,https://patents.google.com/patent/JP6488330B2/en,https://patentimages.storage.googleapis.com/JP6488330B2/0006488330.png
JP-6141579-B2,Method and system for integrated medical tracking ,"コヴィディエン リミテッド パートナーシップ, コヴィディエン  リミテッド  パートナーシップ","ピー． ホイットマン マイケル, ピー．  ホイットマン マイケル",2001-06-20,2016-07-20,2017-06-07,2017-06-07,https://patents.google.com/patent/JP6141579B2/en,https://patentimages.storage.googleapis.com/4b/03/01/fe1657b3320615/0006141579-2.png
JP-6440808-B2,Personal management and monitoring of medical conditions ,"ペイシェンツライクミー， インコーポレイテッド, ペイシェンツライクミー，  インコーポレイテッド","ヘイウッド ベンジャミン, ヘイウッド ベンジャミン, ヘイウッド ジェームズ, ヘイウッド ジェームズ, ウィックス ポール, ウィックス ポール",2007-10-12,2017-11-27,2018-12-19,2018-12-19,https://patents.google.com/patent/JP6440808B2/en,https://patentimages.storage.googleapis.com/JP6440808B2/0006440808.png
JP-6219460-B2,"Classified method for distributing map correction data, system and apparatus ","トムトム インターナショナル ベスローテン フエンノートシャップ, トムトム  インターナショナル  ベスローテン  フエンノートシャップ","ピエター ギーレン，, ピエター ギーレン，, スヴェン ユルゲンス，, スヴェン ユルゲンス，, ローリー ジョウンズ，, ローリー ジョウンズ，",2006-08-15,2016-07-28,2017-10-25,2017-10-25,https://patents.google.com/patent/JP6219460B2/en,https://patentimages.storage.googleapis.com/fd/3a/15/2e1aeca3103038/0006219460-5.png
JP-6316389-B2,"Portable transmitter apparatus, method, system, and user interface ","ラガヴーリン リミテッド, ラガヴーリン  リミテッド",リー，リチャード，ツァー，カイ,2007-07-27,2016-11-25,2018-04-25,2018-04-25,https://patents.google.com/patent/JP6316389B2/en,https://patentimages.storage.googleapis.com/40/a8/f6/845cb4c96dbc30/0006316389-2.png
AU-2016201703-B2,Medical devices and methods ,Abbott Diabetes Care Inc.,"Daniel Milfred Bernstein, Jean-Pierre Cole, Hung Dinh, Benjamin J. Feldman, Martin J. Fennell, Gary Alan Hayter, Lei He, Udo Hoss, Namvar Kiaie, Michael Love, Louis Pace, Jeffrey Mario Sicurello, Mark Kent Sloan, Gary Ashley Stafford, Marc Barry Taub, Christopher Allen Thomas, Phillip Yee",2009-08-31,2016-03-17,2017-08-24,2017-08-24,https://patents.google.com/patent/AU2016201703B2/en,
JP-6294398-B2,The system and method of mobile payments using the alias ,"ビザ ユー．エス．エー．インコーポレイテッド, ビザ  ユー．エス．エー．インコーポレイテッド",カールソン、マーク,2006-12-26,2016-07-11,2018-03-14,2018-03-14,https://patents.google.com/patent/JP6294398B2/en,https://patentimages.storage.googleapis.com/7a/85/d3/7155c32a70c4b1/0006294398-2.png
JP-6402159-B2,The provision of location-based services using a mobile statistics value of the user ,"アイディーピーエー ホールディングス インコーポレイテッド, アイディーピーエー  ホールディングス  インコーポレイテッド","アヌパム，ヴィノド, ペリンクラン，スルヤナラヤン, フェドク，チトラ，エー．, プーサラ，ヴィスワナス",2006-05-19,2016-10-28,2018-10-10,2018-10-10,https://patents.google.com/patent/JP6402159B2/en,https://patentimages.storage.googleapis.com/cc/35/2e/1941b300bac4fc/0006402159-61.png
JP-6298522-B2,Application for viewing the image ,"アップル インコーポレイテッド, アップル  インコーポレイテッド","ランディ ウビロス，, ランディ ウビロス，, ティモシー ディー． シェーナ，, ティモシー  ディー． シェーナ，, チェン サン，, チェン サン，, サミュエル エム． ロバーツ，, サミュエル  エム． ロバーツ，, クリストファー アール． カニンガム，, クリストファー  アール． カニンガム，",2012-03-06,2016-12-15,2018-03-20,2018-03-20,https://patents.google.com/patent/JP6298522B2/en,https://patentimages.storage.googleapis.com/89/22/7b/180f09a9374f40/0006298522-2.png
JP-6286511-B2,Scripted graphics in the process environment ,"フィッシャー−ローズマウント システムズ，インコーポレイテッド, フィッシャー−ローズマウント  システムズ，インコーポレイテッド","ルーカス、ジェー．、マイケル, ニクソン、マーク、ジェー．, ゾウ、リング, エンヴァー、アルパー．, ウェブ、オーサー",2004-05-04,2016-11-07,2018-02-28,2018-02-28,https://patents.google.com/patent/JP6286511B2/en,https://patentimages.storage.googleapis.com/JP6286511B2/0006286511.png
JP-6441270-B2,A method and system for authenticating the parties to the transaction ,"ビザ ユー．エス．エー．インコーポレイテッド, ビザ  ユー．エス．エー．インコーポレイテッド","ウェントカー、デイヴィッド, リンデルシー、マイケル, ブランド、オリヴィエ, ディミック、ジェームズ, エイ．シング グレウォール、トリブワン, エイ．シング グレウォール、トリブワン",2007-04-17,2016-08-15,2018-12-19,2018-12-19,https://patents.google.com/patent/JP6441270B2/en,https://patentimages.storage.googleapis.com/JP6441270B2/0006441270.png
JP-6247710-B2,The user interface for the electronic trading system ,"トレーディング テクノロジーズ インターナショナル インコーポレイテッド, トレーディング  テクノロジーズ  インターナショナル  インコーポレイテッド","リチャード・フリーセン, ピーター・シー・ハート",1999-04-09,2016-02-26,2017-12-13,2017-12-13,https://patents.google.com/patent/JP6247710B2/en,https://patentimages.storage.googleapis.com/c4/51/e9/d6c06df9add5ce/0006247710-2.png
JP-6374906-B2,Track data encryption ,"ビザ ユー．エス．エー．インコーポレイテッド, ビザ  ユー．エス．エー．インコーポレイテッド",ハンマド、アイマン,2006-06-19,2016-05-06,2018-08-15,2018-08-15,https://patents.google.com/patent/JP6374906B2/en,https://patentimages.storage.googleapis.com/29/1b/bf/f0a367f91b6e75/0006374906-2.png
JP-6471186-B2,"The method of fitness monitoring using mobile devices, apparatus, computer readable media, and systems ","ナイキ イノベイト シーブイ, ナイキ  イノベイト  シーブイ","ホフマン，マイケル，ティー, クランクソン，クワミナ, ニムス，ジェイソン, オレンスタイン，マイケル，レビ, ホワイト，クリステン，レイナ",2010-08-09,2017-03-15,2019-02-13,2019-02-13,https://patents.google.com/patent/JP6471186B2/en,https://patentimages.storage.googleapis.com/f0/9d/93/b88cfa278c3990/0006471186-2.png
JP-6250768-B2,Facilitation of interaction between social network users ,フェイスブック，インク．,"グレッグ アーレンス，スペンサー, グレッグ アーレンス，スペンサー, アレクサンダー マーロー，キャメロン, アレクサンダー マーロー，キャメロン, セレン バックストローム，ラーズ, セレン バックストローム，ラーズ, ミシュラ，チャイターニャ",2010-07-01,2016-10-20,2017-12-20,2017-12-20,https://patents.google.com/patent/JP6250768B2/en,https://patentimages.storage.googleapis.com/f1/ea/ac/2341664b851c5c/0006250768-2.png
AU-2016204091-B2,Triggering notifications associated with tasks to perform ,Apple Inc.,"Freddy A. Anzures, Alexandre A. Aybes, Thomas R. Gruber, Paul D. Marcos, Donald W. Pitschell, Alessandro F. Sabatelli, Edward D. Voas",2011-06-03,2016-06-17,2018-03-15,2018-03-15,https://patents.google.com/patent/AU2016204091B2/en,
JP-6379262-B2,Social circle within a social network ,"グーグル エルエルシー, グーグル  エルエルシー","ジョセフ・スマール, ポール・アダムス, シムリット・ベン−ヤイール, ジョナサン・ターレスキー, マンディー・アール・スラッデン, レイ・ジュン−アン・ス",2010-11-01,2017-08-07,2018-08-22,2018-08-22,https://patents.google.com/patent/JP6379262B2/en,https://patentimages.storage.googleapis.com/JP6379262B2/0006379262.png
JP-6333938-B2,"Method performed in a retail store having an anti-theft system, programs and systems ","ヴィザ インターナショナル サーヴィス アソシエイション, ヴィザ  インターナショナル  サーヴィス  アソシエイション","エドワード カッツィン, エドワード カッツィン, アイマン ハンマド, アイマン ハンマド, ジュリアン ホワ, ジュリアン ホワ, ジェリー ウォルド, ジェリー ウォルド",2011-03-25,2016-12-20,2018-05-30,2018-05-30,https://patents.google.com/patent/JP6333938B2/en,https://patentimages.storage.googleapis.com/JP6333938B2/0006333938.png
