id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-3602702-A,Electronically generated perspective images ,Univ Utah,John E Warnock,1969-05-19,1969-05-19,1971-08-31,1971-08-31,https://patents.google.com/patent/US3602702A/en,https://patentimages.storage.googleapis.com/d5/28/1c/e6532e0a6dc7b5/US3602702-drawings-page-2.png
US-3632865-A,Predictive video encoding using measured subject velocity ,Bell Telephone Labor Inc,"Barin G Haskell, John O Limb",1969-12-23,1969-12-23,1972-01-04,1972-01-04,https://patents.google.com/patent/US3632865A/en,https://patentimages.storage.googleapis.com/ee/85/b5/8625a42ef8c75e/US3632865-drawings-page-2.png
US-3573789-A,Method and apparatus for increasing image resolution ,Ibm,"John V Sharp, Donald R Thompson",1968-12-13,1968-12-13,1971-04-06,1971-04-06,https://patents.google.com/patent/US3573789A/en,https://patentimages.storage.googleapis.com/54/c7/1a/16d08f26a3c366/US3573789-drawings-page-2.png
US-3621214-A,Electronically generated perspective images ,"Gordon W Romney, David C Evans, Alan C Erdahl, Chris R Wylie","Gordon W Romney, David C Evans, Alan C Erdahl, Chris R Wylie",1968-11-13,1968-11-13,1971-11-16,1971-11-16,https://patents.google.com/patent/US3621214A/en,https://patentimages.storage.googleapis.com/4e/71/fe/741ce433abb71d/US3621214-drawings-page-33.png
US-3748644-A,Automatic registration of points in two separate images ,Westinghouse Electric Corp,G Tisdale,1969-12-31,1969-12-31,1973-07-24,1973-07-24,https://patents.google.com/patent/US3748644A/en,https://patentimages.storage.googleapis.com/6f/aa/7c/bf7479b2dccd5f/US3748644-drawings-page-2.png
JP-6170972-B2,Method and computer-readable recording medium relating gallery application for displaying content ,ヤフー株式会社,"クリシュナラジ ヴェンカト, クリシュナラジ ヴェンカト, ダブリュ．シューメーカー オースティン, ダブリュ．シューメーカー オースティン, ラスナム アディティア, ラスナム アディティア, ブームカー スージャンヤ, ブームカー スージャンヤ",2009-11-25,2015-09-18,2017-07-26,2017-07-26,https://patents.google.com/patent/JP6170972B2/en,https://patentimages.storage.googleapis.com/JP6170972B2/0006170972.png
JP-6186044-B2,Wafer and reticle inspection methods and systems for using the designer intent data ,"ケーエルエー−テンカー コーポレイション, ケーエルエー−テンカー  コーポレイション","マレラ，ポール・フランク, マッコウリー，シャロン, チャン，エリス, ヴォルク，ウィリアム, ウィリー，ジェイムズ, ワトソン，スターリング, ケカレ，サガー・エイ, ヘス，カール",2003-07-03,2016-06-06,2017-08-23,2017-08-23,https://patents.google.com/patent/JP6186044B2/en,https://patentimages.storage.googleapis.com/2d/34/32/0ff7a21b5dd3d1/0006186044-2.png
JP-6152620-B2,Smart pad orientation ,ゼット１２４Ｚ１２４,"サーパル、サンジブ, ギンプル、マーティン, スティーブン ヴィソスキー、ジョン, スティーブン ヴィソスキー、ジョン",2010-10-01,2016-08-30,2017-06-28,2017-06-28,https://patents.google.com/patent/JP6152620B2/en,https://patentimages.storage.googleapis.com/JP6152620B2/0006152620.png
AU-2017201063-B2,System and method for augmented and virtual reality ,"Magic Leap, Inc.",Samuel A. Miller,2011-10-28,2017-02-16,2018-12-06,2018-12-06,https://patents.google.com/patent/AU2017201063B2/en,
AU-2015275298-B2,Method and system for patient-specific modeling of blood flow ,"Heartflow, Inc.","Ying Bai, Gilwoo Choi, Timothy A. Fonte, Charles A. Taylor, Christopher K. Zarins",2010-08-12,2015-12-23,2017-04-06,2017-04-06,https://patents.google.com/patent/AU2015275298B2/en,
JP-6122184-B2,Imaging and processing of images using a monolithic camera array with different types of imaging devices ,"ペリカン イメージング コーポレイション, ペリカン  イメージング  コーポレイション","カーティク ヴェンカタラマン, カーティク ヴェンカタラマン, アマンディープ エス． ジャビ, アマンディープ  エス． ジャビ, ロバート エイチ． マリス, ロバート  エイチ． マリス",2008-05-20,2016-06-20,2017-04-26,2017-04-26,https://patents.google.com/patent/JP6122184B2/en,https://patentimages.storage.googleapis.com/JP6122184B2/0006122184.png
JP-6250014-B2,System and method for mobile image capture and processing ,"コファックス， インコーポレイテッド, コファックス，  インコーポレイテッド","マッチオーラ，アンソニー, アントラップ，ジャン・ウィラーズ, シュストロヴィッチ，アレクサンダー, スラッシャー，クリストファー・ダブリュ",2012-01-12,2015-11-25,2017-12-20,2017-12-20,https://patents.google.com/patent/JP6250014B2/en,https://patentimages.storage.googleapis.com/JP6250014B2/0006250014.png
